,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,0.0004424648385485952,0.9999999999999991,0.3685526069447401,0.2525272819937223,4.181619826815197e-05,0.9441580022057319,0.0052951629128987765,0.011066098327022655,0.08605985783588599,0.0006875861494906044
locf,0.0004424648385485952,1.0,0.00035354321440683734,0.610330226377366,0.744408400728706,0.9999932775975046,0.08605985783588599,0.9999624029790588,0.9994830724500022,0.9441580022057319,0.9999999999991385
rf,0.9999999999999991,0.00035354321440683734,1.0,0.3373441947219096,0.2274805572485985,3.257336502660024e-05,0.930554390159037,0.004372046696588194,0.00924465589214074,0.07497773925481332,0.0005523013853894199
xgb,0.3685526069447401,0.610330226377366,0.3373441947219096,1.0,0.9999999991423428,0.2792302440951384,0.9965124974541979,0.9305543901590367,0.9735508798802379,0.9999209677482349,0.6794200165514148
mice,0.2525272819937223,0.744408400728706,0.2274805572485985,0.9999999991423428,1.0,0.4010104709651796,0.9852939663225316,0.973550879880238,0.9924797775765137,0.9999975502479842,0.8032641843066148
saits,4.181619826815197e-05,0.9999932775975046,3.257336502660024e-05,0.2792302440951384,0.4010104709651796,1.0,0.018638584773777556,0.9924797775765137,0.973550879880238,0.712562207740485,0.9999624029790588
brits,0.9441580022057319,0.08605985783588599,0.930554390159037,0.9965124974541979,0.9852939663225316,0.018638584773777556,1.0,0.33734419472190924,0.4689430373268695,0.8767825752833666,0.11218272233402882
unet,0.0052951629128987765,0.9999624029790588,0.004372046696588194,0.9305543901590367,0.973550879880238,0.9924797775765137,0.33734419472190924,1.0,0.9999999991423428,0.9991202672045766,0.9999932775975046
ae,0.011066098327022655,0.9994830724500022,0.00924465589214074,0.9735508798802379,0.9924797775765137,0.973550879880238,0.4689430373268695,0.9999999991423428,1.0,0.9999209677482349,0.9998441192861575
gnn,0.08605985783588599,0.9441580022057319,0.07497773925481332,0.9999209677482349,0.9999975502479842,0.712562207740485,0.8767825752833666,0.9991202672045766,0.9999209677482349,1.0,0.965502376772806
stgnn,0.0006875861494906044,0.9999999999991385,0.0005523013853894199,0.6794200165514148,0.8032641843066148,0.9999624029790588,0.11218272233402882,0.9999932775975046,0.9998441192861575,0.965502376772806,1.0
