,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,1.0,1.0,0.23979432581506244,0.8168230253384662,0.9971713707858556,0.9999999999999513,0.023938145695632573,0.9999985883251313,0.05232345572065211,0.038646780614878806
locf,1.0,1.0,1.0,0.23979432581506244,0.8168230253384662,0.9971713707858556,0.9999999999999513,0.023938145695632573,0.9999985883251313,0.05232345572065211,0.038646780614878806
rf,1.0,1.0,1.0,0.2525272819937223,0.8298784372785097,0.9977230301948707,0.9999999999991385,0.0259795720633218,0.9999975502479842,0.05632279318172717,0.04173969666223132
xgb,0.23979432581506244,0.23979432581506244,0.2525272819937223,1.0,0.9985597436056862,0.8544168002300715,0.2041214960346036,0.9991202672045766,0.08605985783588632,0.9999624029790588,0.9998441192861575
mice,0.8168230253384662,0.8168230253384662,0.8298784372785097,0.9985597436056862,1.0,0.9994830724500022,0.7747141430181278,0.8298784372785101,0.5394108856067759,0.930554390159037,0.8969242801446388
saits,0.9971713707858556,0.9971713707858556,0.9977230301948707,0.8544168002300715,0.9994830724500022,1.0,0.994810532395995,0.30753137735301717,0.9557597878529658,0.4689430373268695,0.4010104709651796
brits,0.9999999999999513,0.9999999999999513,0.9999999999991385,0.2041214960346036,0.7747141430181278,0.994810532395995,1.0,0.018638584773777556,0.9999997861568205,0.04173969666223132,0.030526436696058812
unet,0.023938145695632573,0.023938145695632573,0.0259795720633218,0.9991202672045766,0.8298784372785101,0.30753137735301717,0.018638584773777556,1.0,0.0052951629128987765,0.9999999921795161,0.999999999950901
ae,0.9999985883251313,0.9999985883251313,0.9999975502479842,0.08605985783588632,0.5394108856067759,0.9557597878529658,0.9999997861568205,0.0052951629128987765,1.0,0.013206642218860698,0.00924465589214074
gnn,0.05232345572065211,0.05232345572065211,0.05632279318172717,0.9999624029790588,0.930554390159037,0.4689430373268695,0.04173969666223132,0.9999999921795161,0.013206642218860698,1.0,0.9999999999991385
stgnn,0.038646780614878806,0.038646780614878806,0.04173969666223132,0.9998441192861575,0.8969242801446388,0.4010104709651796,0.030526436696058812,0.999999999950901,0.00924465589214074,0.9999999999991385,1.0
