,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,1.0,0.9999999972425841,0.26567471466880255,0.21558908637491103,0.9993221877844402,0.9999985883251313,0.0048132456311092975,0.9999450214091641,0.23979432581506244,0.11960018408650386
locf,1.0,1.0,0.9999999972425841,0.26567471466880255,0.21558908637491103,0.9993221877844402,0.9999985883251313,0.0048132456311092975,0.9999450214091641,0.23979432581506244,0.11960018408650386
rf,0.9999999972425841,0.9999999972425841,1.0,0.4010104709651796,0.33734419472190924,0.9999624029790588,0.9999209677482349,0.011066098327022655,0.9999992151276619,0.36855260694473935,0.2041214960346036
xgb,0.26567471466880255,0.26567471466880255,0.4010104709651796,1.0,0.9999999999991385,0.8032641843066148,0.09843251292657884,0.9655023767728059,0.6794200165514155,0.9999999999999991,0.9999997861568205
mice,0.21558908637491103,0.21558908637491103,0.33734419472190924,0.9999999999991385,1.0,0.744408400728706,0.07497773925481332,0.9800854805045742,0.6103302263773667,0.9999999999999991,0.9999999921795161
saits,0.9993221877844402,0.9993221877844402,0.9999624029790588,0.8032641843066148,0.744408400728706,1.0,0.9800854805045742,0.07497773925481332,0.9999999991423428,0.7747141430181278,0.5749542814716053
brits,0.9999985883251313,0.9999985883251313,0.9999209677482349,0.09843251292657884,0.07497773925481332,0.9800854805045742,1.0,0.0008537365823514387,0.9948105323959949,0.08605985783588599,0.03575370047561166
unet,0.0048132456311092975,0.0048132456311092975,0.011066098327022655,0.9655023767728059,0.9800854805045742,0.07497773925481332,0.0008537365823514387,1.0,0.04173969666223132,0.973550879880238,0.9965124974541978
ae,0.9999450214091641,0.9999450214091641,0.9999992151276619,0.6794200165514155,0.6103302263773667,0.9999999991423428,0.9948105323959949,0.04173969666223132,1.0,0.6452486924410519,0.43454198634618135
gnn,0.23979432581506244,0.23979432581506244,0.36855260694473935,0.9999999999999991,0.9999999999999991,0.7747141430181278,0.08605985783588599,0.973550879880238,0.6452486924410519,1.0,0.9999999528107533
stgnn,0.11960018408650386,0.11960018408650386,0.2041214960346036,0.9999997861568205,0.9999999921795161,0.5749542814716053,0.03575370047561166,0.9965124974541978,0.43454198634618135,0.9999999528107533,1.0
