,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,0.0024193294042472724,0.6103302263773664,0.1824571300685116,0.7747141430181278,0.2274805572485986,0.9997091278989066,0.9991202672045766,0.0052951629128987765,0.8969242801446384,0.6103302263773667
locf,0.0024193294042472724,1.0,5.3312723347076485e-08,5.80238856962012e-10,2.3947980809513325e-07,0.9441580022057321,0.03575370047561166,0.04856720708354312,0.9999999991423428,0.30753137735301805,0.6452486924410525
rf,0.6103302263773664,5.3312723347076485e-08,1.0,0.9998441192861575,0.9999999921795161,0.00014042580933337767,0.1624726744527627,0.12739207731779978,1.7817238706641092e-07,0.013206642218860698,0.001975147582292669
xgb,0.1824571300685116,5.80238856962012e-10,0.9998441192861575,1.0,0.9977230301948707,4.041743815741405e-06,0.022039690352694152,0.015713399146052298,2.2130649535156977e-09,0.0008537365823514387,8.715392835401126e-05
mice,0.7747141430181278,2.3947980809513325e-07,0.9999999921795161,0.9977230301948707,1.0,0.0004424648385485952,0.27923024409513897,0.2274805572485986,7.632262530865574e-07,0.030526436696058812,0.0052951629128987765
saits,0.2274805572485986,0.9441580022057321,0.00014042580933337767,4.041743815741405e-06,0.0004424648385485952,1.0,0.7125622077404843,0.7747141430181278,0.9800854805045742,0.9924797775765137,0.9999624029790588
brits,0.9997091278989066,0.03575370047561166,0.1624726744527627,0.022039690352694152,0.27923024409513897,0.7125622077404843,1.0,0.9999999999991385,0.06509590372497087,0.9991202672045766,0.9655023767728059
unet,0.9991202672045766,0.04856720708354312,0.12739207731779978,0.015713399146052298,0.2274805572485986,0.7747141430181278,0.9999999999991385,1.0,0.08605985783588599,0.9997091278989066,0.9800854805045742
ae,0.0052951629128987765,0.9999999991423428,1.7817238706641092e-07,2.2130649535156977e-09,7.632262530865574e-07,0.9800854805045742,0.06509590372497087,0.08605985783588599,1.0,0.4345419863461808,0.7747141430181278
gnn,0.8969242801446384,0.30753137735301805,0.013206642218860698,0.0008537365823514387,0.030526436696058812,0.9924797775765137,0.9991202672045766,0.9997091278989066,0.4345419863461808,1.0,0.9999932775975046
stgnn,0.6103302263773667,0.6452486924410525,0.001975147582292669,8.715392835401126e-05,0.0052951629128987765,0.9999624029790588,0.9655023767728059,0.9800854805045742,0.7747141430181278,0.9999932775975046,1.0
