,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,8.12864375809852e-09,0.9999999999991385,0.9991202672045766,0.9965124974541979,1.138532046418561e-09,2.7400304247748863e-12,0.0005523013853894199,0.04173969666223132,0.9441580022057318,0.03575370047561166
locf,8.12864375809852e-09,1.0,1.535991300816164e-08,1.343159573896635e-06,3.0798332594228484e-06,0.9999999528107533,0.9893646115183236,0.6452486924410525,0.06509590372497132,3.257336502660024e-05,0.07497773925481355
rf,0.9999999999991385,1.535991300816164e-08,1.0,0.9997091278989066,0.9985597436056862,2.2130649535156977e-09,5.7696070143720135e-12,0.0008537365823514387,0.05632279318172717,0.9655023767728059,0.04856720708354312
xgb,0.9991202672045766,1.343159573896635e-06,0.9997091278989066,1.0,0.999999999950901,2.3947980809513325e-07,1.138532046418561e-09,0.015713399146052298,0.33734419472190924,0.9999624029790588,0.3075313773530175
mice,0.9965124974541979,3.0798332594228484e-06,0.9985597436056862,0.999999999950901,1.0,5.732701616745217e-07,3.074572263450648e-09,0.0259795720633218,0.4345419863461808,0.9999975502479842,0.4010104709651796
saits,1.138532046418561e-09,0.9999999528107533,2.2130649535156977e-09,2.3947980809513325e-07,5.732701616745217e-07,1.0,0.9991202672045766,0.43454198634618135,0.02597957206332202,6.910347813304796e-06,0.030526436696058812
brits,2.7400304247748863e-12,0.9893646115183236,5.7696070143720135e-12,1.138532046418561e-09,3.074572263450648e-09,0.9991202672045766,1.0,0.06509590372497098,0.001057202688840575,5.3312723347076485e-08,0.001305634665107358
unet,0.0005523013853894199,0.6452486924410525,0.0008537365823514387,0.015713399146052298,0.0259795720633218,0.43454198634618135,0.06509590372497098,1.0,0.9893646115183237,0.09843251292657884,0.9924797775765137
ae,0.04173969666223132,0.06509590372497132,0.05632279318172717,0.33734419472190924,0.4345419863461808,0.02597957206332202,0.001057202688840575,0.9893646115183237,1.0,0.744408400728706,0.9999999999999991
gnn,0.9441580022057318,3.257336502660024e-05,0.9655023767728059,0.9999624029790588,0.9999975502479842,6.910347813304796e-06,5.3312723347076485e-08,0.09843251292657884,0.744408400728706,1.0,0.712562207740485
stgnn,0.03575370047561166,0.07497773925481355,0.04856720708354312,0.3075313773530175,0.4010104709651796,0.030526436696058812,0.001305634665107358,0.9924797775765137,0.9999999999999991,0.712562207740485,1.0
