,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,4.041743815741405e-06,0.999999999950901,0.7125622077404845,0.4689430373268699,0.0004424648385485952,0.9997091278989066,0.0008537365823514387,0.0005523013853894199,0.12739207731779978,0.011066098327022655
locf,4.041743815741405e-06,1.0,9.002932177759604e-06,0.02203969035269393,0.06509590372497087,0.9977230301948707,0.0001775703147803842,0.9924797775765136,0.9965124974541978,0.30753137735301717,0.8298784372785097
rf,0.999999999950901,9.002932177759604e-06,1.0,0.8032641843066147,0.5749542814716053,0.0008537365823514387,0.9999624029790588,0.0016080709489121325,0.001057202688840575,0.18245713006851183,0.018638584773777778
xgb,0.7125622077404845,0.02203969035269393,0.8032641843066147,1.0,0.9999997861568205,0.27923024409513897,0.9852939663225316,0.3685526069447401,0.3075313773530175,0.9965124974541979,0.8032641843066148
mice,0.4689430373268699,0.06509590372497087,0.5749542814716053,0.9999997861568205,1.0,0.5039835487008695,0.9148357335734373,0.6103302263773667,0.5394108856067759,0.9999209677482349,0.9441580022057319
saits,0.0004424648385485952,0.9977230301948707,0.0008537365823514387,0.27923024409513897,0.5039835487008695,1.0,0.00924465589214074,0.999999999950901,0.9999999999999991,0.8969242801446384,0.9994830724500022
brits,0.9997091278989066,0.0001775703147803842,0.9999624029790588,0.9852939663225316,0.9148357335734373,0.00924465589214074,1.0,0.015713399146052298,0.011066098327022655,0.5394108856067759,0.11218272233402882
unet,0.0008537365823514387,0.9924797775765136,0.0016080709489121325,0.3685526069447401,0.6103302263773667,0.999999999950901,0.015713399146052298,1.0,0.9999999999991385,0.9441580022057319,0.9999209677482349
ae,0.0005523013853894199,0.9965124974541978,0.001057202688840575,0.3075313773530175,0.5394108856067759,0.9999999999999991,0.011066098327022655,0.9999999999991385,1.0,0.9148357335734373,0.9997091278989066
gnn,0.12739207731779978,0.30753137735301717,0.18245713006851183,0.9965124974541979,0.9999209677482349,0.8969242801446384,0.5394108856067759,0.9441580022057319,0.9148357335734373,1.0,0.9994830724500022
stgnn,0.011066098327022655,0.8298784372785097,0.018638584773777778,0.8032641843066148,0.9441580022057319,0.9994830724500022,0.11218272233402882,0.9999209677482349,0.9997091278989066,0.9994830724500022,1.0
