,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,1.0,0.9988691916229923,0.060576483875439346,0.10513016932598918,0.9971713707858556,0.9999999799639915,0.060576483875439346,0.9999985883251313,0.09207932942560271,0.045042931774696426
locf,1.0,1.0,0.9988691916229923,0.060576483875439346,0.10513016932598918,0.9971713707858556,0.9999999799639915,0.060576483875439346,0.9999985883251313,0.09207932942560271,0.045042931774696426
rf,0.9988691916229923,0.9988691916229923,1.0,0.4345419863461808,0.5749542814716048,0.9999999999991385,0.9893646115183237,0.4345419863461808,0.9999975502479842,0.5394108856067759,0.36855260694473935
xgb,0.060576483875439346,0.060576483875439346,0.4345419863461808,1.0,0.9999999991423428,0.5039835487008695,0.0259795720633218,1.0,0.1824571300685116,0.999999999950901,0.9999999999991385
mice,0.10513016932598918,0.10513016932598918,0.5749542814716048,0.9999999991423428,1.0,0.6452486924410519,0.04856720708354312,0.9999999991423428,0.2792302440951384,0.9999999999999991,0.9999999528107533
saits,0.9971713707858556,0.9971713707858556,0.9999999999991385,0.5039835487008695,0.6452486924410519,1.0,0.9800854805045742,0.5039835487008695,0.9999833916623205,0.6103302263773667,0.4345419863461808
brits,0.9999999799639915,0.9999999799639915,0.9893646115183237,0.0259795720633218,0.04856720708354312,0.9800854805045742,1.0,0.0259795720633218,0.9998441192861575,0.04173969666223132,0.018638584773777556
unet,0.060576483875439346,0.060576483875439346,0.4345419863461808,1.0,0.9999999991423428,0.5039835487008695,0.0259795720633218,1.0,0.1824571300685116,0.999999999950901,0.9999999999991385
ae,0.9999985883251313,0.9999985883251313,0.9999975502479842,0.1824571300685116,0.2792302440951384,0.9999833916623205,0.9998441192861575,0.1824571300685116,1.0,0.2525272819937223,0.14413431292866252
gnn,0.09207932942560271,0.09207932942560271,0.5394108856067759,0.999999999950901,0.9999999999999991,0.6103302263773667,0.04173969666223132,0.999999999950901,0.2525272819937223,1.0,0.9999999921795161
stgnn,0.045042931774696426,0.045042931774696426,0.36855260694473935,0.9999999999991385,0.9999999528107533,0.4345419863461808,0.018638584773777556,0.9999999999991385,0.14413431292866252,0.9999999921795161,1.0
