,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,8.12864375809852e-09,0.9999999999999991,0.8767825752833669,0.8969242801446384,1.7321477585596767e-11,2.4870661086140444e-11,0.00035354321440683734,0.05632279318172717,0.9148357335734373,0.1624726744527627
locf,8.12864375809852e-09,1.0,5.892463961210126e-09,8.715392835401126e-05,6.84008356851562e-05,0.9985597436056862,0.9991202672045766,0.712562207740485,0.04856720708354312,5.3548296754413194e-05,0.013206642218860698
rf,0.9999999999999991,5.892463961210126e-09,1.0,0.8544168002300716,0.8767825752833668,1.203537269844901e-11,1.7321477585596767e-11,0.0002817568715997032,0.04856720708354312,0.8969242801446383,0.14413431292866274
xgb,0.8767825752833669,8.715392835401126e-05,0.8544168002300716,1.0,0.9999999999999991,7.632262530865574e-07,1.0137012079747265e-06,0.12739207731779978,0.8969242801446384,0.9999999999991385,0.9852939663225316
mice,0.8969242801446384,6.84008356851562e-05,0.8767825752833668,0.9999999999999991,1.0,5.732701616745217e-07,7.632262530865574e-07,0.11218272233402882,0.8767825752833669,0.9999999999999991,0.9800854805045742
saits,1.7321477585596767e-11,0.9985597436056862,1.203537269844901e-11,7.632262530865574e-07,5.732701616745217e-07,1.0,0.9999999999999991,0.1624726744527627,0.001975147582292669,4.2956576407071623e-07,0.00035354321440683734
brits,2.4870661086140444e-11,0.9991202672045766,1.7321477585596767e-11,1.0137012079747265e-06,7.632262530865574e-07,0.9999999999999991,1.0,0.1824571300685116,0.0024193294042471614,5.732701616745217e-07,0.0004424648385485952
unet,0.00035354321440683734,0.712562207740485,0.0002817568715997032,0.12739207731779978,0.11218272233402882,0.1624726744527627,0.1824571300685116,1.0,0.9655023767728059,0.09843251292657884,0.8298784372785101
ae,0.05632279318172717,0.04856720708354312,0.04856720708354312,0.8969242801446384,0.8767825752833669,0.001975147582292669,0.0024193294042471614,0.9655023767728059,1.0,0.8544168002300718,0.9999992151276619
gnn,0.9148357335734373,5.3548296754413194e-05,0.8969242801446383,0.9999999999991385,0.9999999999999991,4.2956576407071623e-07,5.732701616745217e-07,0.09843251292657884,0.8544168002300718,1.0,0.973550879880238
stgnn,0.1624726744527627,0.013206642218860698,0.14413431292866274,0.9852939663225316,0.9800854805045742,0.00035354321440683734,0.0004424648385485952,0.8298784372785101,0.9999992151276619,0.973550879880238,1.0
