,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,1.343159573896635e-06,0.9999624029790588,0.4689430373268699,0.2274805572485985,0.0024193294042472724,0.965502376772806,0.0035995513008374447,0.0024193294042472724,0.930554390159037,0.6103302263773664
locf,1.343159573896635e-06,1.0,3.257336502660024e-05,0.03575370047561166,0.11218272233402882,0.9148357335734373,0.001057202688840575,0.8767825752833666,0.9148357335734373,0.001975147582292669,0.018638584773777556
rf,0.9999624029790588,3.257336502660024e-05,1.0,0.8544168002300716,0.6103302263773664,0.02203969035269393,0.9997091278989066,0.030526436696058812,0.02203969035269393,0.9985597436056862,0.930554390159037
xgb,0.4689430373268699,0.03575370047561166,0.8544168002300716,1.0,0.9999992151276619,0.7747141430181278,0.9977230301948707,0.8298784372785101,0.7747141430181278,0.9994830724500022,0.9999999991423428
mice,0.2274805572485985,0.11218272233402882,0.6103302263773664,0.9999992151276619,1.0,0.9441580022057319,0.9655023767728059,0.965502376772806,0.9441580022057319,0.9852939663225316,0.9999624029790588
saits,0.0024193294042472724,0.9148357335734373,0.02203969035269393,0.7747141430181278,0.9441580022057319,1.0,0.1824571300685116,0.9999999999991385,1.0,0.2525272819937223,0.6452486924410519
brits,0.965502376772806,0.001057202688840575,0.9997091278989066,0.9977230301948707,0.9655023767728059,0.1824571300685116,1.0,0.2274805572485986,0.1824571300685116,0.999999999950901,0.9997091278989066
unet,0.0035995513008374447,0.8767825752833666,0.030526436696058812,0.8298784372785101,0.965502376772806,0.9999999999991385,0.2274805572485986,1.0,0.9999999999991385,0.3075313773530175,0.712562207740485
ae,0.0024193294042472724,0.9148357335734373,0.02203969035269393,0.7747141430181278,0.9441580022057319,1.0,0.1824571300685116,0.9999999999991385,1.0,0.2525272819937223,0.6452486924410519
gnn,0.930554390159037,0.001975147582292669,0.9985597436056862,0.9994830724500022,0.9852939663225316,0.2525272819937223,0.999999999950901,0.3075313773530175,0.2525272819937223,1.0,0.9999624029790588
stgnn,0.6103302263773664,0.018638584773777556,0.930554390159037,0.9999999991423428,0.9999624029790588,0.6452486924410519,0.9997091278989066,0.712562207740485,0.6452486924410519,0.9999624029790588,1.0
