,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,1.7817238706641092e-07,0.9999997861568205,0.9998441192861575,0.9948105323959949,3.074572263450648e-09,1.032461893757386e-10,0.0024193294042472724,0.4689430373268695,0.9965124974541979,0.3075313773530175
locf,1.7817238706641092e-07,1.0,2.1039598174787955e-08,9.002932177759604e-06,5.3548296754413194e-05,0.9999209677482349,0.9893646115183236,0.744408400728706,0.011066098327022877,4.181619826815197e-05,0.0259795720633218
rf,0.9999997861568205,2.1039598174787955e-08,1.0,0.9948105323959949,0.9557597878529657,2.929407827423347e-10,8.342992963150664e-12,0.0005523013853894199,0.2525272819937223,0.965502376772806,0.14413431292866297
xgb,0.9998441192861575,9.002932177759604e-06,0.9948105323959949,1.0,0.9999997861568205,2.3947980809513325e-07,1.1187047621596946e-08,0.030526436696058812,0.8969242801446383,0.9999999528107533,0.7747141430181281
mice,0.9948105323959949,5.3548296754413194e-05,0.9557597878529657,0.9999997861568205,1.0,1.7754334238340164e-06,9.792482602577479e-08,0.08605985783588632,0.9800854805045742,0.9999999999999991,0.930554390159037
saits,3.074572263450648e-09,0.9999209677482349,2.929407827423347e-10,2.3947980809513325e-07,1.7754334238340164e-06,1.0,0.9999932775975046,0.3075313773530175,0.0008537365823514387,1.343159573896635e-06,0.0024193294042472724
brits,1.032461893757386e-10,0.9893646115183236,8.342992963150664e-12,1.1187047621596946e-08,9.792482602577479e-08,0.9999932775975046,1.0,0.0984325129265784,8.715392835401126e-05,7.233953203122923e-08,0.0002817568715997032
unet,0.0024193294042472724,0.744408400728706,0.0005523013853894199,0.030526436696058812,0.08605985783588632,0.3075313773530175,0.0984325129265784,1.0,0.7747141430181284,0.07497773925481332,0.8969242801446384
ae,0.4689430373268695,0.011066098327022877,0.2525272819937223,0.8969242801446383,0.9800854805045742,0.0008537365823514387,8.715392835401126e-05,0.7747141430181284,1.0,0.9735508798802379,0.9999999921795161
gnn,0.9965124974541979,4.181619826815197e-05,0.965502376772806,0.9999999528107533,0.9999999999999991,1.343159573896635e-06,7.233953203122923e-08,0.07497773925481332,0.9735508798802379,1.0,0.9148357335734373
stgnn,0.3075313773530175,0.0259795720633218,0.14413431292866297,0.7747141430181281,0.930554390159037,0.0024193294042472724,0.0002817568715997032,0.8969242801446384,0.9999999921795161,0.9148357335734373,1.0
