,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,0.00011076875130100472,0.7747141430181281,0.3685526069447401,0.994810532395995,0.11218272233402882,0.9985597436056862,0.9800854805045742,0.0002239657606759593,0.6794200165514148,0.7747141430181278
locf,0.00011076875130100472,1.0,3.074572263450648e-09,5.0912829507865354e-11,4.2956576407071623e-07,0.7747141430181272,0.0052951629128987765,0.018638584773777556,0.999999999950901,0.16247267445276237,0.11218272233402848
rf,0.7747141430181281,3.074572263450648e-09,1.0,0.9999624029790588,0.9994830724500022,0.00011076875130100472,0.2041214960346035,0.08605985783588599,8.12864375809852e-09,0.007700073263628648,0.013206642218860698
xgb,0.3685526069447401,5.0912829507865354e-11,0.9999624029790588,1.0,0.9557597878529657,5.291277827890184e-06,0.04173969666223132,0.013206642218860698,1.4650913815472677e-10,0.0006875861494906044,0.001305634665107358
mice,0.994810532395995,4.2956576407071623e-07,0.9994830724500022,0.9557597878529657,1.0,0.0035995513008374447,0.712562207740485,0.46894303732687004,1.0137012079747265e-06,0.09843251292657884,0.14413431292866297
saits,0.11218272233402882,0.7747141430181272,0.00011076875130100472,5.291277827890184e-06,0.0035995513008374447,1.0,0.6103302263773667,0.8298784372785101,0.8544168002300715,0.9965124974541979,0.9893646115183237
brits,0.9985597436056862,0.0052951629128987765,0.2041214960346035,0.04173969666223132,0.712562207740485,0.6103302263773667,1.0,0.9999997861568205,0.00924465589214074,0.9924797775765137,0.9977230301948707
unet,0.9800854805045742,0.018638584773777556,0.08605985783588599,0.013206642218860698,0.46894303732687004,0.8298784372785101,0.9999997861568205,1.0,0.030526436696058812,0.9997091278989066,0.9999624029790588
ae,0.0002239657606759593,0.999999999950901,8.12864375809852e-09,1.4650913815472677e-10,1.0137012079747265e-06,0.8544168002300715,0.00924465589214074,0.030526436696058812,1.0,0.2274805572485986,0.1624726744527627
gnn,0.6794200165514148,0.16247267445276237,0.007700073263628648,0.0006875861494906044,0.09843251292657884,0.9965124974541979,0.9924797775765137,0.9997091278989066,0.2274805572485986,1.0,0.999999999950901
stgnn,0.7747141430181278,0.11218272233402848,0.013206642218860698,0.001305634665107358,0.14413431292866297,0.9893646115183237,0.9977230301948707,0.9999624029790588,0.1624726744527627,0.999999999950901,1.0
