,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,0.0001775703147803842,0.8032641843066148,0.5039835487008695,0.9557597878529657,0.14413431292866252,0.9977230301948707,0.9991202672045766,0.0006875861494906044,0.7747141430181278,0.9800854805045742
locf,0.0001775703147803842,1.0,8.12864375809852e-09,4.127664876563131e-10,9.792482602577479e-08,0.7747141430181278,0.00924465589214074,0.006394699187373121,0.9999999528107533,0.14413431292866252,0.0259795720633218
rf,0.8032641843066148,8.12864375809852e-09,1.0,0.9999975502479842,0.9999992151276619,0.0002239657606759593,0.2041214960346036,0.2525272819937223,5.3312723347076485e-08,0.015713399146052298,0.09843251292657884
xgb,0.5039835487008695,4.127664876563131e-10,0.9999975502479842,1.0,0.9991202672045766,2.531070370292987e-05,0.06509590372497098,0.08605985783588599,3.074572263450648e-09,0.0029551630786502914,0.0259795720633218
mice,0.9557597878529657,9.792482602577479e-08,0.9999992151276619,0.9991202672045766,1.0,0.001305634665107358,0.4345419863461808,0.5039835487008693,5.732701616745217e-07,0.05632279318172717,0.25252728199372254
saits,0.14413431292866252,0.7747141430181278,0.0002239657606759593,2.531070370292987e-05,0.001305634665107358,1.0,0.7125622077404843,0.6452486924410519,0.9148357335734373,0.9948105323959949,0.8767825752833666
brits,0.9977230301948707,0.00924465589214074,0.2041214960346036,0.06509590372497098,0.4345419863461808,0.7125622077404843,1.0,0.9999999999991385,0.0259795720633218,0.9985597436056862,0.9999999528107533
unet,0.9991202672045766,0.006394699187373121,0.2525272819937223,0.08605985783588599,0.5039835487008693,0.6452486924410519,0.9999999999991385,1.0,0.018638584773777556,0.9965124974541979,0.9999992151276619
ae,0.0006875861494906044,0.9999999528107533,5.3312723347076485e-08,3.074572263450648e-09,5.732701616745217e-07,0.9148357335734373,0.0259795720633218,0.018638584773777556,1.0,0.2792302440951384,0.06509590372497087
gnn,0.7747141430181278,0.14413431292866252,0.015713399146052298,0.0029551630786502914,0.05632279318172717,0.9948105323959949,0.9985597436056862,0.9965124974541979,0.2792302440951384,1.0,0.9999624029790588
stgnn,0.9800854805045742,0.0259795720633218,0.09843251292657884,0.0259795720633218,0.25252728199372254,0.8767825752833666,0.9999999528107533,0.9999992151276619,0.06509590372497087,0.9999624029790588,1.0
