,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,0.0002239657606759593,0.6452486924410519,0.2274805572485986,0.9557597878529657,0.14413431292866297,0.9985597436056862,0.9997091278989066,0.0006875861494906044,0.8767825752833669,0.9800854805045742
locf,0.0002239657606759593,1.0,2.2130649535156977e-09,2.4870661086140444e-11,1.3224563810698697e-07,0.8032641843066144,0.00924465589214074,0.0052951629128987765,0.9999999921795161,0.0984325129265784,0.030526436696058812
rf,0.6452486924410519,2.2130649535156977e-09,1.0,0.9999209677482349,0.9999209677482349,6.84008356851562e-05,0.12739207731779978,0.1824571300685116,1.1187047621596946e-08,0.013206642218860698,0.04856720708354312
xgb,0.2274805572485986,2.4870661086140444e-11,0.9999209677482349,1.0,0.973550879880238,2.341198866995242e-06,0.018638584773777556,0.030526436696058812,1.4650913815472677e-10,0.001057202688840575,0.0052951629128987765
mice,0.9557597878529657,1.3224563810698697e-07,0.9999209677482349,0.973550879880238,1.0,0.001305634665107358,0.4689430373268695,0.5749542814716048,5.732701616745217e-07,0.09843251292657884,0.2525272819937223
saits,0.14413431292866297,0.8032641843066144,6.84008356851562e-05,2.341198866995242e-06,0.001305634665107358,1.0,0.6794200165514155,0.5749542814716053,0.9148357335734373,0.9800854805045742,0.8767825752833669
brits,0.9985597436056862,0.00924465589214074,0.12739207731779978,0.018638584773777556,0.4689430373268695,0.6794200165514155,1.0,0.999999999950901,0.022039690352694152,0.9997091278989066,0.9999997861568205
unet,0.9997091278989066,0.0052951629128987765,0.1824571300685116,0.030526436696058812,0.5749542814716048,0.5749542814716053,0.999999999950901,1.0,0.013206642218860698,0.9985597436056862,0.9999932775975046
ae,0.0006875861494906044,0.9999999921795161,1.1187047621596946e-08,1.4650913815472677e-10,5.732701616745217e-07,0.9148357335734373,0.022039690352694152,0.013206642218860698,1.0,0.1824571300685116,0.06509590372497098
gnn,0.8767825752833669,0.0984325129265784,0.013206642218860698,0.001057202688840575,0.09843251292657884,0.9800854805045742,0.9997091278989066,0.9985597436056862,0.1824571300685116,1.0,0.9999992151276619
stgnn,0.9800854805045742,0.030526436696058812,0.04856720708354312,0.0052951629128987765,0.2525272819937223,0.8767825752833669,0.9999997861568205,0.9999932775975046,0.06509590372497098,0.9999992151276619,1.0
