,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,5.80238856962012e-10,0.9999833916623205,0.9148357335734373,0.930554390159037,2.7400304247748863e-12,8.810729923425242e-13,4.181619826815197e-05,0.00924465589214074,0.744408400728706,0.007700073263628648
locf,5.80238856962012e-10,1.0,2.1039598174787955e-08,6.910347813304796e-06,5.291277827890184e-06,0.9997091278989066,0.9985597436056862,0.7444084007287065,0.07497773925481355,4.181619826815197e-05,0.08605985783588632
rf,0.9999833916623205,2.1039598174787955e-08,1.0,0.9965124974541979,0.9977230301948707,1.4650913815472677e-10,5.0912829507865354e-11,0.0005523013853894199,0.05632279318172717,0.9655023767728059,0.04856720708354312
xgb,0.9148357335734373,6.910347813304796e-06,0.9965124974541979,1.0,0.9999999999999991,9.792482602577479e-08,3.9197565637749676e-08,0.0259795720633218,0.5039835487008693,0.9999997861568205,0.4689430373268699
mice,0.930554390159037,5.291277827890184e-06,0.9977230301948707,0.9999999999999991,1.0,7.233953203122923e-08,2.8751538039273328e-08,0.02203969035269393,0.4689430373268695,0.9999992151276619,0.4345419863461808
saits,2.7400304247748863e-12,0.9997091278989066,1.4650913815472677e-10,9.792482602577479e-08,7.233953203122923e-08,1.0,0.999999999950901,0.2525272819937223,0.006394699187373121,7.632262530865574e-07,0.007700073263628648
brits,8.810729923425242e-13,0.9985597436056862,5.0912829507865354e-11,3.9197565637749676e-08,2.8751538039273328e-08,0.999999999950901,1.0,0.18245713006851194,0.0035995513008374447,3.2111880143848026e-07,0.004372046696588194
unet,4.181619826815197e-05,0.7444084007287065,0.0005523013853894199,0.0259795720633218,0.02203969035269393,0.2525272819937223,0.18245713006851194,1.0,0.9800854805045742,0.07497773925481332,0.9852939663225316
ae,0.00924465589214074,0.07497773925481355,0.05632279318172717,0.5039835487008693,0.4689430373268695,0.006394699187373121,0.0035995513008374447,0.9800854805045742,1.0,0.744408400728706,0.9999999999999991
gnn,0.744408400728706,4.181619826815197e-05,0.9655023767728059,0.9999997861568205,0.9999992151276619,7.632262530865574e-07,3.2111880143848026e-07,0.07497773925481332,0.744408400728706,1.0,0.712562207740485
stgnn,0.007700073263628648,0.08605985783588632,0.04856720708354312,0.4689430373268699,0.4345419863461808,0.007700073263628648,0.004372046696588194,0.9852939663225316,0.9999999999999991,0.712562207740485,1.0
