scenario,model_A,model_B,seed,n_folds,stat,p_value,verdict
blackout,locf,ae,3,19,46.00,4.937e-02,sig (median dR2=+0.0676)
blackout,locf,ae,4,19,69.00,3.124e-01,ns (median dR2=+0.0282)
blackout,locf,gnn,0,19,19.00,1.171e-03,sig (median dR2=+0.1558)
blackout,locf,gnn,1,19,22.00,2.022e-03,sig (median dR2=+0.1795)
blackout,locf,gnn,2,19,16.00,6.447e-04,sig (median dR2=+0.1467)
blackout,locf,gnn,3,19,24.00,2.838e-03,sig (median dR2=+0.1830)
blackout,locf,gnn,4,19,12.00,2.670e-04,sig (median dR2=+0.2172)
blackout,locf,stgnn,0,19,13.00,3.357e-04,sig (median dR2=+0.1710)
blackout,locf,stgnn,1,19,30.00,7.145e-03,sig (median dR2=+0.1499)
blackout,locf,stgnn,2,19,12.00,2.670e-04,sig (median dR2=+0.1997)
blackout,locf,stgnn,3,19,24.00,2.838e-03,sig (median dR2=+0.1869)
blackout,locf,stgnn,4,19,8.00,9.537e-05,sig (median dR2=+0.1446)

# resume : fraction de seeds significatifs (p<0.05) par paire
scenario,model_A,model_B,n_sig,n_seeds_tested
blackout,locf,ae,1,5
blackout,locf,brits,5,5
blackout,locf,gnn,5,5
blackout,locf,mice,5,5
blackout,locf,rf,5,5
blackout,locf,saits,5,5
blackout,locf,stgnn,5,5
blackout,locf,unet,5,5
blackout,locf,xgb,5,5
profile,gnn,mice,0,5
profile,stgnn,gnn,0,5
profile,stgnn,mice,0,5
profile,unet,gnn,0,5
profile,unet,mice,2,5
profile,unet,stgnn,0,5
profile,xgb,gnn,0,5
profile,xgb,mice,0,5
profile,xgb,stgnn,0,5
