,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,6.910347813304796e-06,0.9999999999999991,0.8544168002300716,0.8969242801446383,0.0006875861494906044,0.9999209677482349,0.04173969666223132,0.00035354321440683734,0.6452486924410523,0.08605985783588599
locf,6.910347813304796e-06,1.0,9.002932177759604e-06,0.013206642218860698,0.00924465589214074,0.9977230301948707,0.0001775703147803842,0.6452486924410525,0.9994830724500022,0.04173969666223132,0.46894303732687004
rf,0.9999999999999991,9.002932177759604e-06,1.0,0.8767825752833669,0.9148357335734373,0.0008537365823514387,0.9999624029790588,0.04856720708354312,0.0004424648385485952,0.6794200165514155,0.09843251292657884
xgb,0.8544168002300716,0.013206642218860698,0.8767825752833669,1.0,0.9999999999991385,0.2041214960346036,0.994810532395995,0.8767825752833666,0.14413431292866252,0.9999997861568205,0.9557597878529657
mice,0.8969242801446383,0.00924465589214074,0.9148357335734373,0.9999999999991385,1.0,0.1624726744527627,0.9977230301948707,0.8298784372785101,0.11218272233402882,0.9999975502479842,0.930554390159037
saits,0.0006875861494906044,0.9977230301948707,0.0008537365823514387,0.2041214960346036,0.1624726744527627,1.0,0.00924465589214074,0.9924797775765137,0.999999999950901,0.4010104709651796,0.965502376772806
brits,0.9999209677482349,0.0001775703147803842,0.9999624029790588,0.994810532395995,0.9977230301948707,0.00924465589214074,1.0,0.2274805572485986,0.0052951629128987765,0.9557597878529658,0.3685526069447401
unet,0.04173969666223132,0.6452486924410525,0.04856720708354312,0.8767825752833666,0.8298784372785101,0.9924797775765137,0.2274805572485986,1.0,0.9800854805045742,0.9735508798802379,0.9999999921795161
ae,0.00035354321440683734,0.9994830724500022,0.0004424648385485952,0.14413431292866252,0.11218272233402882,0.999999999950901,0.0052951629128987765,0.9800854805045742,1.0,0.30753137735301717,0.9305543901590367
gnn,0.6452486924410523,0.04173969666223132,0.6794200165514155,0.9999997861568205,0.9999975502479842,0.4010104709651796,0.9557597878529658,0.9735508798802379,0.30753137735301717,1.0,0.9948105323959949
stgnn,0.08605985783588599,0.46894303732687004,0.09843251292657884,0.9557597878529657,0.930554390159037,0.965502376772806,0.3685526069447401,0.9999999921795161,0.9305543901590367,0.9948105323959949,1.0
