,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,1.0,0.9999450214091641,0.21558908637491103,0.5926812372339487,0.9988691916229923,0.9999999997723733,0.0048132456311092975,0.9999999997723733,0.5216654206071912,0.045042931774696426
locf,1.0,1.0,0.9999450214091641,0.21558908637491103,0.5926812372339487,0.9988691916229923,0.9999999997723733,0.0048132456311092975,0.9999999997723733,0.5216654206071912,0.045042931774696426
rf,0.9999450214091641,0.9999450214091641,1.0,0.6103302263773667,0.930554390159037,0.9999999921795161,0.9999975502479842,0.04173969666223132,0.9999975502479842,0.8969242801446384,0.2274805572485986
xgb,0.21558908637491103,0.21558908637491103,0.6103302263773667,1.0,0.9999624029790588,0.7747141430181278,0.3075313773530175,0.9800854805045742,0.3075313773530175,0.9999932775975046,0.9999624029790588
mice,0.5926812372339487,0.5926812372339487,0.930554390159037,0.9999624029790588,1.0,0.9800854805045742,0.712562207740485,0.7747141430181278,0.712562207740485,0.9999999999991385,0.9852939663225316
saits,0.9988691916229923,0.9988691916229923,0.9999999921795161,0.7747141430181278,0.9800854805045742,1.0,0.9998441192861575,0.08605985783588599,0.9998441192861575,0.9655023767728059,0.36855260694473935
brits,0.9999999997723733,0.9999999997723733,0.9999975502479842,0.3075313773530175,0.712562207740485,0.9998441192861575,1.0,0.00924465589214074,1.0,0.6452486924410519,0.07497773925481332
unet,0.0048132456311092975,0.0048132456311092975,0.04173969666223132,0.9800854805045742,0.7747141430181278,0.08605985783588599,0.00924465589214074,1.0,0.00924465589214074,0.8298784372785101,0.9999209677482349
ae,0.9999999997723733,0.9999999997723733,0.9999975502479842,0.3075313773530175,0.712562207740485,0.9998441192861575,1.0,0.00924465589214074,1.0,0.6452486924410519,0.07497773925481332
gnn,0.5216654206071912,0.5216654206071912,0.8969242801446384,0.9999932775975046,0.9999999999991385,0.9655023767728059,0.6452486924410519,0.8298784372785101,0.6452486924410519,1.0,0.9924797775765137
stgnn,0.045042931774696426,0.045042931774696426,0.2274805572485986,0.9999624029790588,0.9852939663225316,0.36855260694473935,0.07497773925481332,0.9999209677482349,0.07497773925481332,0.9924797775765137,1.0
