method,seed,well,probe,level,S_mean,S_sd,n,R
ae,2,W09,colog,0.1,0.138696,0.095492,510,30
ae,2,W09,colog,0.25,0.130563,0.087504,510,30
ae,2,W09,colog,0.5,0.139041,0.100142,510,30
brits,0,W01,colog,0.05,0.081983,0.020205,7110,30
brits,0,W01,colog,0.1,0.081892,0.020141,7110,30
brits,0,W01,colog,0.25,0.081569,0.020230,7110,30
brits,0,W01,colog,0.5,0.080777,0.020599,7110,30
brits,0,W04,colog,0.05,0.070312,0.009298,4530,30
brits,0,W04,colog,0.1,0.070220,0.009282,4530,30
brits,0,W04,colog,0.25,0.070034,0.009027,4530,30
brits,0,W04,colog,0.5,0.069114,0.008699,4530,30
brits,0,W02,colog,0.05,0.078526,0.020249,2040,30
brits,0,W02,colog,0.1,0.078892,0.020101,2040,30
brits,0,W02,colog,0.25,0.079860,0.019721,2040,30
brits,0,W02,colog,0.5,0.081505,0.018692,2040,30
gnn,0,W01,colog,0.05,0.552489,0.121161,7110,30
gnn,0,W01,colog,0.1,0.552684,0.121732,7110,30
gnn,0,W01,colog,0.25,0.550976,0.120039,7110,30
gnn,0,W01,colog,0.5,0.544261,0.117671,7110,30
gnn,0,W01,neighbor,0.05,0.066344,0.031041,6900,30
gnn,0,W01,neighbor,0.1,0.066340,0.030945,6900,30
gnn,0,W01,neighbor,0.25,0.066521,0.030980,6900,30
gnn,0,W01,neighbor,0.5,0.066708,0.030692,6900,30
gnn,0,W04,colog,0.05,0.573585,0.110870,4530,30
gnn,0,W04,colog,0.1,0.573492,0.110459,4530,30
gnn,0,W04,colog,0.25,0.571068,0.107376,4530,30
gnn,0,W04,colog,0.5,0.565619,0.101285,4530,30
gnn,0,W04,neighbor,0.05,0.058926,0.020617,4530,30
gnn,0,W04,neighbor,0.1,0.058989,0.020507,4530,30
gnn,0,W04,neighbor,0.25,0.059362,0.019837,4530,30
gnn,0,W04,neighbor,0.5,0.060455,0.018141,4530,30
gnn,0,W02,colog,0.05,0.645949,0.074533,2040,30
gnn,0,W02,colog,0.1,0.645623,0.075047,2040,30
gnn,0,W02,colog,0.25,0.640732,0.074394,2040,30
gnn,0,W02,colog,0.5,0.626875,0.073876,2040,30
gnn,0,W02,neighbor,0.05,0.069146,0.031046,2040,30
gnn,0,W02,neighbor,0.1,0.069104,0.031153,2040,30
gnn,0,W02,neighbor,0.25,0.069211,0.030995,2040,30
gnn,0,W02,neighbor,0.5,0.069141,0.030447,2040,30
gnn,0,W03,colog,0.05,0.624593,0.062231,1740,30
gnn,0,W03,colog,0.1,0.624154,0.062776,1740,30
gnn,0,W03,colog,0.25,0.620241,0.061155,1740,30
gnn,0,W03,colog,0.5,0.607872,0.059246,1740,30
gnn,0,W03,neighbor,0.05,0.058825,0.020519,1740,30
gnn,0,W03,neighbor,0.1,0.058756,0.020463,1740,30
gnn,0,W03,neighbor,0.25,0.058751,0.020692,1740,30
gnn,0,W03,neighbor,0.5,0.059066,0.021712,1740,30
gnn,0,W10,colog,0.05,0.527035,0.104256,1680,30
gnn,0,W10,colog,0.1,0.527022,0.103031,1680,30
gnn,0,W10,colog,0.25,0.525830,0.101012,1680,30
gnn,0,W10,colog,0.5,0.519896,0.094853,1680,30
