well,regime,L,method,seed,log,r2,mae,rmse,n
W04,profile-long,512,ae,0,RHOB,0.1701,0.0729,0.0888,512
W04,profile-long,512,ae,0,NPHI,0.1597,0.0577,0.0785,512
W04,profile-long,512,ae,0,all,-1.2353,10.5870,21.1709,1536
W04,profile-long,512,ae,0,all_z,-0.1568,0.6400,0.8055,1536
W04,profile-long,768,ae,0,GR,-7.3364,24.4008,30.6372,768
W04,profile-long,768,ae,0,RHOB,0.0613,0.0773,0.1007,768
W04,profile-long,768,ae,0,NPHI,0.2190,0.0633,0.0834,768
W04,profile-long,768,ae,0,all,-0.5273,8.1805,17.6886,2304
W04,profile-long,768,ae,0,all_z,-0.0305,0.6041,0.7831,2304
W04,profile-long,1024,ae,0,GR,-3.2365,21.1517,27.3903,1024
W04,profile-long,1024,ae,0,RHOB,0.4874,0.0831,0.1081,1024
W04,profile-long,1024,ae,0,NPHI,0.3424,0.0597,0.0800,1024
W04,profile-long,1024,ae,0,all,0.0086,7.0982,15.8140,3072
W04,profile-long,1024,ae,0,all_z,0.2594,0.5764,0.7569,3072
W04,profile-long,1536,ae,0,GR,-1.6519,19.1780,24.8021,1536
W04,profile-long,1536,ae,0,RHOB,0.4799,0.0934,0.1175,1536
W04,profile-long,1536,ae,0,NPHI,0.3625,0.0631,0.0819,1536
W04,profile-long,1536,ae,0,all,0.3734,6.4448,14.3197,4608
W04,profile-long,1536,ae,0,all_z,0.3584,0.5932,0.7639,4608
W04,profile-long,2048,ae,0,GR,-0.7987,21.6775,26.6638,2048
W04,profile-long,2048,ae,0,RHOB,0.4609,0.0946,0.1187,2048
W04,profile-long,2048,ae,0,NPHI,0.4450,0.0627,0.0811,2048
W04,profile-long,2048,ae,0,all,0.4928,7.2783,15.3946,6144
W04,profile-long,2048,ae,0,all_z,0.4556,0.6169,0.7785,6144
W04,blackout-long,256,ae,0,RHOB,-2.6322,0.0758,0.0832,256
W04,blackout-long,256,ae,0,NPHI,-4.3687,0.0572,0.0658,256
W04,blackout-long,256,ae,0,all,0.9963,0.0665,0.0750,512
W04,blackout-long,256,ae,0,all_z,0.2040,0.5440,0.6143,512
W04,blackout-long,384,ae,0,RHOB,-2.7168,0.0951,0.1255,384
W04,blackout-long,384,ae,0,NPHI,-1.5369,0.0779,0.0964,384
W04,blackout-long,384,ae,0,all,0.9917,0.0865,0.1119,768
W04,blackout-long,384,ae,0,all_z,-0.4914,0.7130,0.9112,768
W04,blackout-long,512,ae,0,RHOB,-0.2638,0.0944,0.1095,512
W04,blackout-long,512,ae,0,NPHI,-0.0220,0.0723,0.0866,512
W04,blackout-long,512,ae,0,all,0.9933,0.0834,0.0987,1024
W04,blackout-long,512,ae,0,all_z,0.0523,0.6828,0.8082,1024
W04,blackout-long,768,ae,0,RHOB,-0.2377,0.0980,0.1157,768
W04,blackout-long,768,ae,0,NPHI,-0.1407,0.0866,0.1008,768
W04,blackout-long,768,ae,0,all,0.9917,0.0923,0.1085,1536
W04,blackout-long,768,ae,0,all_z,-0.1064,0.7669,0.9053,1536
W04,blackout-long,1024,ae,0,RHOB,0.2451,0.1058,0.1312,1024
W04,blackout-long,1024,ae,0,NPHI,0.1249,0.0779,0.0922,1024
W04,blackout-long,1024,ae,0,all,0.9904,0.0919,0.1134,2048
W04,blackout-long,1024,ae,0,all_z,0.1928,0.7496,0.9076,2048
W04,blackout-long,1536,ae,0,RHOB,0.0221,0.1295,0.1611,1536
W04,blackout-long,1536,ae,0,NPHI,0.0840,0.0836,0.0982,1536
W04,blackout-long,1536,ae,0,all,0.9861,0.1066,0.1334,3072
