seed,method,scenario,fold,log,mae,rmse,r2,cc,n
0,ae,single,0,all,8.713396996080156,19.157972232846927,0.752395100519884,0.8894234528283987,83
0,ae,single,0,GR,20.559547478812082,29.501992110450377,0.48072588499587987,0.7497472816565798,35
0,ae,single,0,RHOB,0.09316298961639405,0.11908783968201003,-0.3538812977926169,0.05477166021515807,20
0,ae,single,0,NPHI,0.06301889728222575,0.07751058393907556,-0.08808698004587345,0.7876237190842453,28
0,ae,block,0,all,7.465921542479804,15.382343022039462,0.8343584950458619,0.926639958126817,1140
0,ae,block,0,GR,18.40087815160337,24.215384095680395,0.6402567650697968,0.844916216706389,460
0,ae,block,0,RHOB,0.08902564048767089,0.11344650367840513,0.02356239836892582,0.4981822818524305,340
0,ae,block,0,NPHI,0.048464385069468444,0.06387935832709334,-1.8376417599864392,0.36027599278311756,340
0,ae,profile,0,all,8.088050228752442,22.390184091001487,0.5608891738027166,0.902932672830678,4352
0,ae,profile,0,GR,45.37200254698595,53.29848610370227,-2.256681069814466,0.06407999407104185,768
0,ae,profile,0,RHOB,0.11107560188975185,0.15304091435843714,-0.21405731611315493,0.209300222294472,2048
0,ae,profile,0,NPHI,0.0820402387859455,0.11000506089822926,-1.906043527652685,0.35784020474943995,1536
0,ae,blackout,0,all,8.628014522717201,18.154952503075513,0.7548509180780846,0.8695497679949521,6065
0,ae,blackout,0,GR,22.59789665049827,29.468181030147925,0.4987089597827139,0.7080280505617628,2302
0,ae,blackout,0,RHOB,0.0975459822632466,0.1255935074633294,-0.13535144967766843,0.346679528106931,1671
0,ae,blackout,0,NPHI,0.06957488263428326,0.0856650739239585,-0.3797594999834377,0.4685226748391493,2092
0,ae,single,1,all,18.45628547668457,21.110579477203515,-0.04628767572266512,0.4808941479036059,10
0,ae,single,1,GR,18.45628547668457,21.110579477203515,-0.04628767572266512,0.4808941479036059,10
0,ae,single,1,RHOB,,,,,0
0,ae,single,1,NPHI,,,,,0
0,ae,block,1,all,6.747144275158644,12.537604501557832,0.912495227807602,0.9719660060483004,200
0,ae,block,1,GR,13.474505348205566,17.730829926860636,-0.22835993563423607,0.47693552312110693,100
0,ae,block,1,RHOB,,,,,0
0,ae,block,1,NPHI,0.01978320211172104,0.02689571917198673,-2.441632301160455,0.32435703581489683,100
0,ae,profile,1,all,0.14043660275638103,0.17259376487400627,-2.535062701813477,-0.31743533898988163,512
0,ae,profile,1,GR,,,,,0
0,ae,profile,1,RHOB,0.14043660275638103,0.17259376487400627,-2.535062701813477,-0.31743533898988163,512
0,ae,profile,1,NPHI,,,,,0
0,ae,blackout,1,all,11.039978434302192,18.62529714793043,0.8629456083504577,0.929115264329587,694
0,ae,blackout,1,GR,21.911955621812805,26.339504791139934,-0.2250490268850569,-0.028958222086683836,347
0,ae,blackout,1,RHOB,0.19618620229571054,0.2154937945456743,-4.880786970433494,0.11183418561489634,178
0,ae,blackout,1,NPHI,0.1383153173256908,0.1436785453572209,-3.311222241538191,-0.33729979991020276,169
0,ae,single,2,all,6.050902988401152,12.501684116123737,0.9133286126207293,0.9589234871626788,93
0,ae,single,2,GR,15.9644656590053,20.37832651491656,-0.19572163745209115,0.44105385197668073,35
0,ae,single,2,RHOB,0.08404183387756348,0.11164563408699534,0.47808863027845705,0.7268031820839976,20
0,ae,single,2,NPHI,0.06044324154132291,0.08108387586578723,-0.2772567579168821,0.3861121360198043,38
0,ae,block,2,all,6.196184905403752,12.095334696724446,0.905133842746167,0.9636166282543651,1180
0,ae,block,2,GR,15.74657848192298,19.371600635433982,-1.37273655813734,0.2923558821666854,460
0,ae,block,2,RHOB,0.09822798277202406,0.14152660375655,0.052749196490991856,0.5407216862951079,380
0,ae,block,2,NPHI,0.09042780364260954,0.10700225351635712,-1.2441460030796092,-0.22179105430279378,340
