method,scenario,log,seed,mae,rmse,r2,cc,n
saits,profile,GR,0,28.02971130868663,33.90892857060144,0.04027490253744603,0.27429172163797105,58880
saits,profile,RHOB,0,0.1251628184632127,0.15825640807245933,-0.007952112200102057,0.043079106088692996,80896
saits,profile,NPHI,0,0.08186664187599035,0.09712543269637332,0.09010849365942308,0.3835704118701048,65536
saits,blackout,all,0,8.49961537467127,17.916871350763195,0.6852240267840677,0.8287248320384556,273685
saits,blackout,GR,0,24.325232274258113,30.408844426600826,0.27031143445278405,0.5636548902940255,95009
saits,blackout,RHOB,0,0.10272263663693378,0.1329662086933109,0.2521792177967672,0.5479344891682583,87543
saits,blackout,NPHI,0,0.06702942833891896,0.08314871487877849,0.340049822573265,0.6131303830760925,91133
stgnn,single,all,0,5.894702016375114,12.909541904121054,0.854456082635413,0.9264562856150634,3963
stgnn,single,GR,0,15.72226837735444,21.145988298089005,0.671112518680082,0.8309724358264444,1477
stgnn,single,RHOB,0,0.06343479146560033,0.08361037865739852,0.6580905801596426,0.8160932190838657,1200
stgnn,single,NPHI,0,0.04882733109125141,0.0665818587292235,0.5503223168030246,0.7572792923383751,1286
stgnn,block,all,0,6.590693095790467,15.882633168243212,0.7312319389457783,0.8581039600764453,50120
stgnn,block,GR,0,20.81678601105251,28.323377732724847,0.36747104879383774,0.6414212264857229,15760
stgnn,block,RHOB,0,0.07568348865482688,0.10468594453745497,0.5295999237351827,0.7437062812796962,18100
stgnn,block,NPHI,0,0.054312378977755045,0.07276682981249526,0.4606088193927762,0.6884689468103766,16260
stgnn,profile,all,0,5.603627673155168,14.35936298747777,0.7600089181420197,0.8737907429031359,205312
stgnn,profile,GR,0,19.370601665778057,26.813403081900905,0.3999014312970708,0.6679414698501179,58880
stgnn,profile,RHOB,0,0.0757745888608779,0.10562176586745195,0.5510229534964699,0.7542316857897543,80896
stgnn,profile,NPHI,0,0.05830562758380342,0.0746643978346308,0.4622866592278909,0.6906203075828958,65536
stgnn,blackout,all,0,8.82915557177296,19.47939435902844,0.6279270268846837,0.7957744087218677,273685
stgnn,blackout,GR,0,25.248148566066302,33.060719650273626,0.13749362642526997,0.46950177611085747,95009
stgnn,blackout,RHOB,0,0.10934859243457894,0.1444196254548512,0.11779932173618823,0.4152442104605918,87543
stgnn,blackout,NPHI,0,0.08815019498742102,0.11346468113888561,-0.2289139139444878,0.19097329993653603,91133
unet,single,all,0,4.3279325138047104,10.039701744116494,0.9119733814825384,0.9554553152698952,3963
unet,single,GR,0,11.542980980534125,16.445171346185962,0.8010847071118397,0.8992103059422561,1477
