seed,method,scenario,fold,log,r2,mae
0,ae,block,9,RHOB,0.372903,0.097691
0,ae,block,9,all,0.885872,5.509633
0,ae,block,10,GR,0.702924,16.364706
0,ae,block,10,NPHI,0.619011,0.061118
0,ae,block,10,RHOB,0.097990,0.103123
0,ae,block,10,all,0.844853,5.832004
0,ae,block,11,GR,-21.781065,20.595774
0,ae,block,11,NPHI,-0.162404,0.049818
0,ae,block,11,RHOB,-0.541193,0.084036
0,ae,block,11,all,-8.348605,9.304909
0,ae,block,12,GR,-0.997147,20.727255
0,ae,block,12,NPHI,0.448378,0.067527
0,ae,block,12,RHOB,0.264388,0.104073
0,ae,block,12,all,0.483455,5.857905
0,ae,block,13,GR,0.715782,13.821117
0,ae,block,13,NPHI,-0.017108,0.064423
0,ae,block,13,RHOB,0.309898,0.069039
0,ae,block,13,all,0.935294,3.984456
0,ae,block,14,GR,-0.915354,8.716017
0,ae,block,14,NPHI,0.011379,0.033315
0,ae,block,14,RHOB,0.569217,0.044520
0,ae,block,14,all,0.524677,3.848512
0,ae,block,15,GR,-0.720828,18.623594
0,ae,block,15,NPHI,0.527374,0.043327
0,ae,block,15,RHOB,-0.172825,0.061138
0,ae,block,15,all,0.661399,6.870019
0,ae,block,16,GR,,
0,ae,block,16,NPHI,-1.350032,0.032891
0,ae,block,16,RHOB,,
0,ae,block,16,all,-1.350032,0.032891
0,ae,block,17,GR,0.568572,16.850269
0,ae,block,17,NPHI,0.432873,0.050852
0,ae,block,17,RHOB,-0.214639,0.076887
0,ae,block,17,all,0.842088,4.697082
0,ae,block,18,GR,0.332922,20.075577
0,ae,block,18,NPHI,0.011264,0.096251
0,ae,block,18,RHOB,-1.001120,0.105421
0,ae,block,18,all,0.866799,9.108693
0,ae,profile,0,GR,-2.256681,45.371998
0,ae,profile,0,NPHI,-1.906044,0.082040
0,ae,profile,0,RHOB,-0.214057,0.111076
0,ae,profile,0,all,0.560889,8.088051
0,ae,profile,1,GR,,
0,ae,profile,1,NPHI,,
0,ae,profile,1,RHOB,-2.535062,0.140437
0,ae,profile,1,all,-2.535062,0.140437
0,ae,profile,2,GR,-2.511598,38.824577
0,ae,profile,2,NPHI,-0.212028,0.071011
0,ae,profile,2,RHOB,-0.003634,0.082929
0,ae,profile,2,all,0.656155,6.195013
0,ae,profile,3,GR,-0.140977,18.268270
0,ae,profile,3,NPHI,0.460223,0.055180
0,ae,profile,3,RHOB,0.414290,0.094623
0,ae,profile,3,all,0.586677,6.229411
0,ae,profile,4,GR,-0.802768,29.572273
0,ae,profile,4,NPHI,0.413222,0.061104
0,ae,profile,4,RHOB,0.066460,0.096584
0,ae,profile,4,all,0.627872,9.560142
0,ae,profile,5,GR,-0.583351,22.522213
0,ae,profile,5,NPHI,0.324715,0.058377
0,ae,profile,5,RHOB,0.496101,0.084563
0,ae,profile,5,all,0.433495,8.249413
0,ae,profile,6,GR,-9.146524,32.453072
0,ae,profile,6,NPHI,-2.409215,0.067170
0,ae,profile,6,RHOB,-0.260908,0.055645
0,ae,profile,6,all,0.581866,3.005057
0,ae,profile,7,GR,,
0,ae,profile,7,NPHI,0.033186,0.038621
0,ae,profile,7,RHOB,0.027240,0.072356
0,ae,profile,7,all,0.995937,0.058862
0,ae,profile,8,GR,-7.601320,78.990753
0,ae,profile,8,NPHI,-2.645475,0.094393
0,ae,profile,8,RHOB,-0.537849,0.159350
0,ae,profile,8,all,0.731311,6.203317
0,ae,profile,9,GR,0.380379,30.015905
0,ae,profile,9,NPHI,0.492967,0.062811
0,ae,profile,9,RHOB,-1.495299,0.108133
0,ae,profile,9,all,0.769911,5.075136
0,ae,profile,10,GR,0.035903,24.503582
0,ae,profile,10,NPHI,0.013404,0.070635
0,ae,profile,10,RHOB,-0.364794,0.109412
0,ae,profile,10,all,0.644053,4.160566
0,ae,profile,11,GR,-16.560307,34.442162
0,ae,profile,11,NPHI,-0.169189,0.064255
0,ae,profile,11,RHOB,0.305888,0.064216
0,ae,profile,11,all,-5.661597,2.929058
0,ae,profile,12,GR,-0.972307,25.054350
0,ae,profile,12,NPHI,0.351543,0.061266
0,ae,profile,12,RHOB,0.540278,0.088606
0,ae,profile,12,all,0.442245,8.258554
0,ae,profile,13,GR,-2.065073,41.605946
0,ae,profile,13,NPHI,0.231556,0.066648
0,ae,profile,13,RHOB,-0.285642,0.082673
0,ae,profile,13,all,0.472223,13.364993
0,ae,profile,14,GR,-8.221570,30.097477
0,ae,profile,14,NPHI,-0.523861,0.043574
0,ae,profile,14,RHOB,0.136236,0.066836
0,ae,profile,14,all,0.334842,2.369727
0,ae,profile,15,GR,0.558402,13.850148
0,ae,profile,15,NPHI,0.496022,0.046655
0,ae,profile,15,RHOB,-0.054356,0.083742
0,ae,profile,15,all,0.802859,2.109474
0,ae,profile,16,GR,,
0,ae,profile,16,NPHI,,
0,ae,profile,16,RHOB,-0.649257,0.062986
0,ae,profile,16,all,-0.649257,0.062986
0,ae,profile,17,GR,0.394035,19.115477
0,ae,profile,17,NPHI,0.310179,0.056270
0,ae,profile,17,RHOB,0.065532,0.084707
0,ae,profile,17,all,0.721157,6.178522
0,ae,profile,18,GR,-3.368420,59.689003
0,ae,profile,18,NPHI,-0.651518,0.086629
0,ae,profile,18,RHOB,-0.353923,0.108038
0,ae,profile,18,all,0.481227,8.045031
0,ae,single,0,GR,0.480726,20.559547
0,ae,single,0,NPHI,-0.088087,0.063019
0,ae,single,0,RHOB,-0.353881,0.093163
0,ae,single,0,all,0.752395,8.713397
0,ae,single,1,GR,-0.046288,18.456287
0,ae,single,1,NPHI,,
0,ae,single,1,RHOB,,
0,ae,single,1,all,-0.046288,18.456287
0,ae,single,2,GR,-0.195722,15.964463
0,ae,single,2,NPHI,-0.277257,0.060443
0,ae,single,2,RHOB,0.478089,0.084042
0,ae,single,2,all,0.913329,6.050903
0,ae,single,3,GR,-0.083983,18.416010
0,ae,single,3,NPHI,0.523767,0.051770
0,ae,single,3,RHOB,0.433484,0.095102
0,ae,single,3,all,0.652250,6.569182
0,ae,single,4,GR,0.289457,16.629175
0,ae,single,4,NPHI,0.462537,0.059583
0,ae,single,4,RHOB,0.252211,0.069491
0,ae,single,4,all,0.815991,6.906201
0,ae,single,5,GR,0.498313,14.048064
0,ae,single,5,NPHI,0.482357,0.051922
0,ae,single,5,RHOB,0.612935,0.070072
0,ae,single,5,all,0.803793,4.518632
0,ae,single,6,GR,-1.813162,10.678777
0,ae,single,6,NPHI,-0.721451,0.044074
0,ae,single,6,RHOB,0.288816,0.050262
0,ae,single,6,all,0.839952,4.968694
0,ae,single,7,GR,-0.367884,8.599085
0,ae,single,7,NPHI,0.181639,0.039016
0,ae,single,7,RHOB,0.625338,0.043452
0,ae,single,7,all,0.484104,3.533827
0,ae,single,8,GR,0.479414,28.419451
0,ae,single,8,NPHI,-1.145786,0.079360
0,ae,single,8,RHOB,-0.194863,0.104826
0,ae,single,8,all,0.798497,11.155676
0,ae,single,9,GR,0.661530,18.467276
0,ae,single,9,NPHI,0.438445,0.054227
0,ae,single,9,RHOB,0.354045,0.073575
0,ae,single,9,all,0.865522,7.381996
0,ae,single,10,GR,0.622040,19.115137
0,ae,single,10,NPHI,-0.233642,0.052601
0,ae,single,10,RHOB,0.706673,0.045855
0,ae,single,10,all,0.853294,8.103483
0,ae,single,11,GR,-11.289059,19.543591
0,ae,single,11,NPHI,0.038384,0.055397
0,ae,single,11,RHOB,0.583062,0.048837
0,ae,single,11,all,-3.378520,8.311995
0,ae,single,12,GR,0.257492,14.794547
0,ae,single,12,NPHI,0.368040,0.060478
0,ae,single,12,RHOB,0.558417,0.083636
0,ae,single,12,all,0.752227,6.197079
0,ae,single,13,GR,0.462635,20.706505
0,ae,single,13,NPHI,0.487976,0.047670
0,ae,single,13,RHOB,-0.207641,0.068208
0,ae,single,13,all,0.863018,8.787247
0,ae,single,14,GR,0.227418,7.812729
0,ae,single,14,NPHI,0.448647,0.029960
0,ae,single,14,RHOB,0.075755,0.067177
0,ae,single,14,all,0.766102,3.078827
0,ae,single,15,GR,0.251177,14.330843
0,ae,single,15,NPHI,0.737281,0.041749
0,ae,single,15,RHOB,0.342011,0.073533
0,ae,single,15,all,0.695877,5.395987
0,ae,single,16,GR,0.193846,4.306258
0,ae,single,16,NPHI,,
0,ae,single,16,RHOB,,
0,ae,single,16,all,0.193846,4.306258
0,ae,single,17,GR,0.709596,14.648158
0,ae,single,17,NPHI,0.453950,0.051115
0,ae,single,17,RHOB,0.177194,0.066202
0,ae,single,17,all,0.865585,5.120111
0,ae,single,18,GR,0.186726,26.575787
0,ae,single,18,NPHI,0.189932,0.041221
0,ae,single,18,RHOB,-2.582595,0.081521
0,ae,single,18,all,0.804762,12.599522
0,brits,blackout,0,GR,0.098335,34.870522
0,brits,blackout,0,NPHI,-0.300526,0.072119
0,brits,blackout,0,RHOB,-0.006543,0.091230
0,brits,blackout,0,all,0.559059,13.285284
0,brits,blackout,1,GR,-2.499549,39.543842
0,brits,blackout,1,NPHI,-1.006090,0.094905
0,brits,blackout,1,RHOB,-0.235309,0.077814
0,brits,blackout,1,all,0.608499,19.814989
0,brits,blackout,2,GR,-1.647814,26.532024
0,brits,blackout,2,NPHI,0.099305,0.062853
0,brits,blackout,2,RHOB,0.048568,0.121478
0,brits,blackout,2,all,0.772642,10.395218
0,brits,blackout,3,GR,-0.534135,24.890265
0,brits,blackout,3,NPHI,0.169008,0.077654
0,brits,blackout,3,RHOB,-0.593170,0.141421
0,brits,blackout,3,all,0.466035,8.303220
0,brits,blackout,4,GR,-0.038159,28.081005
0,brits,blackout,4,NPHI,0.158125,0.080992
0,brits,blackout,4,RHOB,0.024134,0.113455
0,brits,blackout,4,all,0.692879,9.997895
0,brits,blackout,5,GR,-0.450998,23.579502
