method,scenario,log,n_seeds,pooledR2_mean,pooledR2_std,pooledR2_ci_low,pooledR2_ci_high,perfoldMedianR2_mean,perfoldMedianR2_std
mice,profile,all,5,0.7517,0.0249,0.7207,0.7826,0.6639,0.0437
mice,profile,GR,5,0.3911,0.0632,0.3126,0.4696,-0.4707,0.4126
mice,profile,RHOB,5,0.5726,0.0262,0.5401,0.6051,0.2715,0.0414
mice,profile,NPHI,5,0.6564,0.0324,0.6162,0.6966,0.6020,0.0284
mice,blackout,all,5,0.4987,0.0145,0.4807,0.5167,0.4411,0.0432
mice,blackout,GR,5,-0.1720,0.0259,-0.2042,-0.1398,-1.5922,0.2526
mice,blackout,RHOB,5,0.0409,0.0326,0.0004,0.0813,-0.3791,0.0508
mice,blackout,NPHI,5,0.1456,0.0243,0.1155,0.1758,-0.1099,0.0118
saits,single,all,5,0.9946,0.0042,0.9894,0.9998,0.9974,0.0005
saits,single,GR,5,0.9874,0.0090,0.9761,0.9986,0.9886,0.0023
saits,single,RHOB,5,0.9867,0.0046,0.9810,0.9924,0.9906,0.0009
saits,single,NPHI,5,0.9956,0.0002,0.9953,0.9958,0.9925,0.0007
saits,block,all,5,0.8010,0.0135,0.7843,0.8178,0.7969,0.0092
saits,block,GR,5,0.5334,0.0184,0.5106,0.5563,0.3319,0.0732
saits,block,RHOB,5,0.4470,0.0402,0.3971,0.4968,0.1264,0.0795
saits,block,NPHI,5,0.5224,0.0054,0.5157,0.5291,0.3689,0.0858
saits,profile,all,5,0.6027,0.0247,0.5721,0.6333,0.5858,0.0450
saits,profile,GR,5,0.0273,0.0121,0.0123,0.0423,-0.4352,0.1562
saits,profile,RHOB,5,-0.0179,0.0211,-0.0441,0.0082,-0.3767,0.1029
saits,profile,NPHI,5,0.0905,0.0098,0.0784,0.1026,-0.1752,0.0439
saits,blackout,all,5,0.6835,0.0106,0.6703,0.6967,0.6705,0.0094
saits,blackout,GR,5,0.2601,0.0121,0.2452,0.2751,-0.1191,0.0613
saits,blackout,RHOB,5,0.2504,0.0148,0.2320,0.2689,-0.0804,0.0356
saits,blackout,NPHI,5,0.3305,0.0199,0.3058,0.3551,0.1351,0.0449
brits,single,all,5,0.9971,0.0015,0.9953,0.9990,0.9976,0.0014
brits,single,GR,5,0.9931,0.0031,0.9892,0.9970,0.9901,0.0045
brits,single,RHOB,5,0.9945,0.0018,0.9923,0.9967,0.9936,0.0024
brits,single,NPHI,5,0.9945,0.0011,0.9931,0.9960,0.9949,0.0029
brits,block,all,5,0.6427,0.0187,0.6195,0.6658,0.6296,0.0405
brits,block,GR,5,0.1618,0.0203,0.1366,0.1871,-0.4031,0.1138
brits,block,RHOB,5,0.1625,0.0487,0.1020,0.2230,-0.2485,0.1134
brits,block,NPHI,5,0.5183,0.0146,0.5002,0.5364,0.3659,0.0624
brits,profile,all,5,0.5566,0.0256,0.5248,0.5884,0.5486,0.0548
brits,profile,GR,5,-0.0857,0.0185,-0.1087,-0.0628,-0.9842,0.2750
brits,profile,RHOB,5,-0.1801,0.0240,-0.2099,-0.1502,-0.5425,0.0953
brits,profile,NPHI,5,0.2957,0.0073,0.2866,0.3048,0.0879,0.0303
brits,blackout,all,5,0.6001,0.0126,0.5845,0.6157,0.5906,0.0148
brits,blackout,GR,5,0.0652,0.0075,0.0559,0.0745,-0.7291,0.0525
brits,blackout,RHOB,5,0.0437,0.0123,0.0284,0.0590,-0.1439,0.0469
brits,blackout,NPHI,5,0.1813,0.0170,0.1601,0.2025,-0.1296,0.0912
unet,single,all,5,0.9097,0.0157,0.8902,0.9291,0.8922,0.0143
unet,single,GR,5,0.7791,0.0287,0.7435,0.8147,0.6280,0.0226
unet,single,RHOB,5,0.7333,0.0833,0.6298,0.8367,0.6845,0.0565
unet,single,NPHI,5,0.7973,0.0187,0.7741,0.8205,0.7892,0.0209
unet,block,all,5,0.7716,0.0169,0.7507,0.7926,0.7025,0.0406
unet,block,GR,5,0.4630,0.0530,0.3972,0.5288,-0.0548,0.1342
unet,block,RHOB,5,0.6085,0.0567,0.5381,0.6789,0.3710,0.0917
unet,block,NPHI,5,0.6843,0.0396,0.6351,0.7335,0.5823,0.0465
unet,profile,all,5,0.7549,0.0206,0.7293,0.7805,0.6947,0.0420
unet,profile,GR,5,0.4003,0.0274,0.3662,0.4343,-0.2158,0.1817
unet,profile,RHOB,5,0.5817,0.0310,0.5432,0.6203,0.3109,0.0906
unet,profile,NPHI,5,0.6651,0.0369,0.6194,0.7109,0.5961,0.0494
unet,blackout,all,5,0.5878,0.0233,0.5589,0.6167,0.5683,0.0264
unet,blackout,GR,5,0.0359,0.0614,-0.0403,0.1121,-0.8576,0.1966
unet,blackout,RHOB,5,0.1293,0.0190,0.1058,0.1528,-0.1625,0.0699
unet,blackout,NPHI,5,0.2445,0.0459,0.1875,0.3015,-0.0634,0.0879
ae,single,all,5,0.8349,0.0072,0.8259,0.8439,0.7991,0.0256
ae,single,GR,5,0.5936,0.0266,0.5606,0.6266,0.1666,0.1103
ae,single,RHOB,5,0.5220,0.0340,0.4797,0.5642,0.2390,0.0755
ae,single,NPHI,5,0.5460,0.0360,0.5013,0.5907,0.3050,0.0658
ae,block,all,5,0.8113,0.0079,0.8015,0.8210,0.7670,0.0538
ae,block,GR,5,0.5565,0.0279,0.5219,0.5911,-0.0099,0.2068
