method,scenario,log,n_seeds,mae_mean,mae_std,mae_ci,rmse_mean,rmse_std,rmse_ci,r2_mean,r2_std,r2_ci,cc_mean,cc_std,cc_ci
ae,block,GR,5,17.17043617705994,0.5220931252228465,0.45763480168476917,23.538737993151233,0.5636776356481074,0.49408523219656647,0.5565247314084615,0.0278633646674719,0.02442331597150653,0.7551813998668768,0.017958279119701808,0.015741125685262782
brits,block,GR,5,26.42917028633592,0.6564605722272857,0.5754130619070595,32.381684452418185,0.708461627110627,0.6209939962064321,0.16182596183793227,0.020316548766819587,0.017808240171432864,0.4796131405968155,0.0245518070208267,0.021520607711857837
gnn,block,GR,5,22.833301552134447,0.9014522105974927,0.7901577011744724,29.11617233051669,1.1796145950698234,1.0339777813561892,0.3197880950358013,0.07776217347175722,0.06816155033670415,0.6350836019130905,0.04263659180963016,0.03737262050517558
locf,block,GR,5,13.563083702383102,0.7347124810897611,0.6440038842406199,21.157360343625804,0.8042701161345274,0.7049738395637938,0.6415715206124768,0.028704701865803758,0.02516078054115448,0.820923883230637,0.014418940370070302,0.012638758485749321
mean,block,GR,5,29.36197381746256,0.366348269322029,0.3211184163882354,35.816688886615445,0.6879913489465374,0.6030510062770844,-0.02528054280999976,0.002641250938290092,0.002315158524311485,-0.3186329442011155,0.03097590994506835,0.027151582198417165
mice,block,GR,5,20.151022213248492,0.5936066514964727,0.5203191712597189,27.859016991647263,1.1502931669406113,1.0082764164104265,0.3788974627412873,0.04690131971233601,0.04111081933160381,0.617253275212969,0.03697249331929016,0.032407819276959134
rf,block,GR,5,25.202202161616817,0.7229600508285018,0.6337024249183394,33.826550681088435,0.9046957662311513,0.7930008030416523,0.08507371910753996,0.03939641865110693,0.034532483508174935,0.46007159239920625,0.02673117069347505,0.023430904197194076
saits,block,GR,5,18.012705746556566,0.3675902897814044,0.3222070953214661,24.161407153015467,0.834730957942094,0.7316739446337597,0.5334469199966707,0.018402329313965814,0.016130352841822935,0.7695527461505097,0.014686784392462125,0.012873534122791878
stgnn,block,GR,5,21.202754352549757,1.9061631264383128,1.6708256481524808,28.317152887187888,2.1699690757270567,1.90206175806005,0.35356399765177265,0.11879069400876613,0.10412463422400739,0.6403607000205531,0.06416072131644186,0.05623935186480165
unet,block,GR,5,18.769247994093938,1.3095600765096571,1.147880017864604,25.89049715731172,1.238782485108227,1.0858407236469416,0.46300166844977275,0.053002357802649,0.0464586150056799,0.6900554577436696,0.03929720367082437,0.03444551774357808
xgb,block,GR,5,22.689158376360645,0.5189895296661299,0.45491438023409114,30.2465887838612,0.56528256190603,0.4954920120875094,0.2687143080450797,0.013215186357572467,0.011583621572097072,0.5518621007320464,0.013359850274176183,0.011710425085852641
ae,block,NPHI,5,0.054992516108385146,0.0015718699084874528,0.0013778047231284127,0.07070645748651931,0.0018633487542837218,0.001633297196304238,0.5019420481578966,0.021046247965549696,0.018447849719936023,0.7300131061337769,0.013310114716433381,0.011666829947352027
brits,block,NPHI,5,0.05731338296243684,0.001107238729182736,0.0009705375377830464,0.069540799042282,0.001293264434582611,0.0011335962579349427,0.5182643591616797,0.014577399347175808,0.012777653903174896,0.812077598180249,0.007827259789923319,0.006860895707385152
gnn,block,NPHI,5,0.05728969333567553,0.003283335663654547,0.0028779706008573336,0.07459625077445595,0.003843017224034158,0.003368553118644023,0.4442222104788306,0.059602429563393206,0.052243832978133,0.6873681916915952,0.034893998866497085,0.03058593856113693
locf,block,NPHI,5,0.05210157281897739,0.001715070944516457,0.0015033259655240386,0.07529187080782432,0.003345872102347671,0.002932786206228854,0.43515688343495296,0.03910714771236961,0.03427892635086566,0.7112019083932083,0.018966848475853986,0.016625175704291534
